feature,count,mean,std,min,25%,50%,75%,max
danceability,170653.0,0.5373955347986852,0.1761377356260658,0.0,0.415,0.5479999999999999,0.6679999999999999,0.988
energy,170653.0,0.4823888351127728,0.2676457045730614,0.0,0.255,0.471,0.703,1.0
acousticness,170653.0,0.5021147637067032,0.3760317251620435,0.0,0.102,0.516,0.893,0.996
valence,170653.0,0.5285872111424939,0.26317146398972013,0.0,0.317,0.54,0.747,1.0
tempo,170653.0,116.86158961752797,30.708533040433153,0.0,93.421,114.729,135.537,243.507
loudness,170653.0,-11.467990038264784,5.697942912369133,-60.0,-14.615,-10.58,-7.183,3.855
instrumentalness,170653.0,0.16700958082940237,0.3134746738769889,0.0,0.0,0.000216,0.102,1.0
liveness,170653.0,0.20583865545873795,0.17480466125905442,0.0,0.0988,0.136,0.261,1.0
speechiness,170653.0,0.09839326235108671,0.16274007247138322,0.0,0.0349,0.045,0.0756,0.97
duration_ms,170653.0,230948.3106655025,126118.41466807322,5108.0,169827.0,207467.0,262400.0,5403500.0
year,170653.0,1976.7872407751402,25.91785256455797,1921.0,1956.0,1977.0,1999.0,2020.0
explicit,170653.0,0.08457513199299163,0.2782492277184763,0.0,0.0,0.0,0.0,1.0
key,170653.0,5.199844128143074,3.515093906137163,0.0,2.0,5.0,8.0,11.0
mode,170653.0,0.7069023105365859,0.45518419130201376,0.0,0.0,1.0,1.0,1.0
popularity,170653.0,31.431794342906365,21.82661513928142,0.0,11.0,33.0,48.0,100.0
