genre,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
adult standards,10.7672,10.2191,14.1899,18.2185,27.0739,37.3848,39.1068,44.1843,49.9916,58.1027,
album rock,0.6667,0.8333,2.0,12.0,31.0827,35.9972,38.0624,44.0111,48.2372,54.375,61.3125
art rock,0.6667,0.8333,2.5,17.4,28.6439,35.3852,37.0572,43.8387,49.2549,56.7391,
bebop,12.2556,7.7019,7.8085,15.7445,23.1016,33.1073,37.5185,42.7365,47.8043,56.0,
brill building pop,,1.5714,10.1,19.9271,27.7201,35.3247,37.2491,43.0201,49.6443,53.9643,
classic rock,0.5,1.5714,2.4667,25.1692,31.3172,35.4859,37.4671,43.1713,48.4447,53.6,1.0
classical,0.8685,1.0215,1.2662,5.7163,20.0433,33.2824,36.255,43.9582,50.02,43.1988,20.0
classical performance,0.8397,1.0746,0.9974,6.1701,19.754,33.3255,35.0506,43.724,49.7103,44.9677,
cool jazz,7.3333,10.3722,7.1354,15.5489,23.0368,33.6516,37.1831,42.6622,48.3529,55.8571,
country,,5.6667,4.8621,16.5603,24.6356,31.5784,35.2111,42.3515,48.1557,56.064,69.4894
country rock,0.0,6.2,4.5417,10.6329,27.8388,33.1309,34.98,41.2838,46.0575,52.3704,1.0
dance pop,,0.0,2.5934,1.25,25.9714,35.8579,41.0156,48.0701,53.0192,62.0293,70.7198
folk,1.1489,6.303,1.2374,9.7103,28.5676,34.0741,36.5762,41.9422,46.7889,52.9079,74.0
folk rock,0.5714,1.6429,2.9286,18.8844,28.6589,34.6145,36.8623,41.569,47.5346,54.5119,
funk,0.0,0.0,4.3333,17.7818,28.1274,33.9013,35.2043,42.3789,48.228,55.4567,77.0
hard rock,,,0.8,,29.4353,34.7359,37.7527,43.8119,47.9475,52.8228,61.3125
hip hop,0.0,0.0,,,42.0,31.7532,37.2715,45.1592,49.9088,59.2417,63.6772
jazz,12.2976,7.7404,7.7681,15.9975,23.1421,33.4943,37.2153,42.7562,47.7885,54.5,
lounge,9.6923,10.4528,14.3955,17.4047,25.5704,35.8321,37.4174,42.6026,49.5602,59.3894,
mellow gold,0.6667,1.4,4.56,17.6738,29.3184,35.5648,38.6665,43.9196,48.1338,55.2261,25.6667
pop,,0.0,2.5714,5.3333,33.9062,34.371,43.27,48.8733,54.3529,63.4497,70.0327
pop rap,0.0,,2.7857,1.25,39.25,34.0769,34.4719,44.794,50.4229,60.1828,64.2292
psychedelic rock,0.0,0.0,,15.3333,30.7705,34.9413,35.394,42.4107,49.4286,54.7,
rap,,0.0,,10.0,14.5,33.32,37.3515,45.1113,50.1592,60.6126,63.2843
rock,0.6667,0.7692,1.2222,29.0,31.9503,35.9505,37.9261,45.1212,50.2484,57.6572,64.3667
roots rock,0.0,6.5,1.0,18.5,29.7214,33.3864,34.7635,40.5386,46.5276,52.6111,65.0
soft rock,0.6667,1.3333,1.6471,21.9545,28.3202,35.7226,39.3469,44.7896,48.9753,55.6489,28.0
soul,6.3333,11.7188,9.4638,22.8803,27.42,34.2411,36.8817,43.5984,49.0283,57.3287,69.0
swing,9.0642,9.1485,8.3672,16.345,23.6726,34.2931,37.4773,43.9608,47.1636,58.25,
vocal jazz,11.7404,10.9975,12.6373,17.4028,25.5009,35.3915,39.1033,43.9687,51.0914,59.2308,
