actual,predicted
34,30.5699
26,30.1557
38,44.4893
13,14.2254
0,-10.026
62,61.3254
23,29.5452
0,12.7466
25,24.4948
25,38.5443
48,54.6981
42,52.8307
35,45.2608
22,30.607
34,32.3
49,43.1223
0,3.3578
46,41.7366
50,56.7822
33,27.1838
45,32.4026
8,19.7229
22,17.1246
62,60.131
20,23.0185
29,25.9275
51,46.8579
35,26.9379
56,55.4336
34,41.7868
37,37.6419
24,22.3607
38,18.0173
31,37.0364
41,50.9851
15,24.9844
27,38.362
0,-4.3465
26,31.0295
0,12.0357
46,19.2425
5,12.4696
0,11.7476
55,58.6396
0,12.8604
0,4.8349
23,23.5613
54,43.357
37,30.9727
26,31.1406
40,39.9593
11,14.1922
30,41.7366
33,32.7565
14,21.375
58,57.4895
0,7.0001
0,11.8924
0,7.1442
56,35.6935
46,56.83
63,61.6848
12,16.7726
9,18.0303
37,48.3913
41,40.376
40,45.243
50,46.9825
67,45.5535
19,23.3264
52,59.3239
56,58.279
2,-8.3068
5,18.9398
0,7.1351
0,-6.0804
39,54.6212
45,41.5232
0,7.4745
50,59.2681
0,56.4332
64,58.9557
53,37.3973
44,32.5923
0,-1.701
0,15.5086
35,42.2716
34,40.0087
22,31.5399
51,47.4418
39,41.3378
41,51.6183
52,53.3565
35,40.9594
29,24.8603
0,8.4561
2,8.9986
48,44.3029
29,23.5309
48,58.1051
61,27.1758
40,32.2076
74,57.3148
43,32.82
33,32.4569
0,3.3941
44,51.8157
48,55.6197
32,28.7469
28,26.9141
60,60.3152
0,9.0552
50,52.8623
0,3.1833
29,30.5337
10,17.6441
0,-1.3542
5,5.985
48,53.5772
0,-4.5801
1,-7.5821
44,52.6108
18,23.3499
84,60.38
23,22.9454
64,35.8931
71,61.8692
51,60.3503
0,3.7294
0,-3.4664
58,54.8894
43,53.7319
62,57.6796
1,6.1963
8,17.3246
33,37.4873
0,12.7033
65,60.0357
65,52.292
51,41.7129
21,23.1651
55,33.4961
0,7.838
28,6.0002
48,41.6751
44,40.9938
27,31.5466
10,6.2317
33,35.2188
66,54.6866
47,37.2803
32,16.6791
0,-2.1634
40,32.9739
41,41.9962
0,7.4242
37,35.5301
38,17.5695
30,40.9597
0,-6.4784
33,38.8373
5,16.5816
47,49.989
64,54.2828
45,56.0247
28,37.0287
45,52.6211
18,26.1784
1,1.9316
64,59.272
29,27.7133
52,54.7188
34,41.5116
72,45.5535
76,41.7158
13,15.1072
33,37.537
53,50.1099
0,8.5748
31,13.399
33,22.9576
58,49.0875
0,1.4598
51,53.164
41,47.1647
1,13.535
14,5.3213
45,40.8903
9,18.9399
6,20.5532
0,4.4326
10,13.3874
34,40.6115
45,44.8104
40,42.0329
18,23.4235
34,48.2719
15,19.0942
63,58.7155
0,1.4936
0,10.4995
2,55.7831
24,22.4044
36,50.0187
46,41.5958
0,4.3476
8,14.3882
47,58.4564
35,32.2681
0,3.7541
26,28.7306
33,37.6638
40,51.1269
14,25.3416
3,0.6309
39,40.4537
41,37.5938
55,59.2248
58,57.1857
41,44.5162
4,17.2222
27,42.0151
62,61.2803
0,8.8236
36,22.2945
0,4.3984
0,10.1519
32,47.8125
15,7.7031
24,17.4422
0,4.248
30,35.7687
63,57.8002
0,11.9416
0,10.602
59,57.1497
33,14.3922
0,-0.45
61,58.1658
53,55.7872
40,38.7528
0,-1.0286
60,43.7137
51,35.0485
5,10.4623
22,30.2174
55,49.8258
