genres_clean,popularity,energy,danceability,acousticness,valence,tempo
basshall,80.6667,0.6302,0.818,0.2132,0.5887,115.0925
trap venezolano,80.0,0.777,0.877,0.0446,0.706,102.02
south african house,80.0,0.5623,0.847,0.0438,0.8343,123.6763
turkish edm,80.0,0.719,0.698,0.0083,0.364,120.062
alberta hip hop,78.5,0.685,0.885,0.33,0.937,99.954
chinese electropop,78.5,0.787,0.66,0.0026,0.199,142.018
afroswing,77.3125,0.5802,0.7118,0.3184,0.6766,83.2501
uk diy punk,77.0,0.937,0.452,0.0002,0.604,164.032
guaracha,77.0,0.972,0.745,0.009,0.556,128.031
circuit,77.0,0.972,0.745,0.009,0.556,128.031
afro soul,77.0,0.873,0.766,0.0063,0.743,126.988
russian dance,77.0,0.945,0.653,0.0056,0.326,126.093
indie triste,77.0,0.159,0.83,0.946,0.189,104.95
pagode baiano,76.6667,0.666,0.8267,0.2563,0.728,147.3413
ritmo kombina,76.3333,0.5783,0.845,0.2513,0.5053,132.154
trap triste,76.0833,0.7048,0.742,0.33,0.5656,133.9382
norwegian pop rap,76.0,0.606,0.43,0.131,0.123,169.988
urbano espanol,75.25,0.6308,0.789,0.1752,0.5592,114.0058
musica canaria,75.1667,0.6255,0.7852,0.4912,0.6757,107.3622
argentine hip hop,74.9792,0.6905,0.7371,0.345,0.5984,139.7246
